TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
1444,1432,99.1689,1428,98.8919,4,528945,339025,64.0945

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VALOR UNIONISTA,TODOS,AZUL,VICTORIA,VAMOS,PIN,ELEFANTE,MLP,P A N,PPN,CABAL,WINAQ,BIEN,FCN-NACION,PHG,CREO,UR,PODEMOS,PR,U R N G - MAIZ,CAMBIO,MI FAMILIA,VIVA,VOS,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16736,"Quiché",14,"Santa Cruz Del Quiché",1,2507,400,13,2,2,0,0,26,0,0,10,0,0,14,6,0,0,8,8,6,0,0,10,1,1,25,16,29,226,42,4,226,0,226,2,400,174,177,223,223,Sumas Asentadas sin cuadrar,1,1bf87c1c6256ac94cfebd19c8f593bea56cd04e86d0478361f6fd5cd7b47a663,25/06/2023 23:06:26,ESCANER
16737,"Quiché",14,"Santa Cruz Del Quiché",1,2508,400,25,9,1,3,0,31,0,2,3,0,3,21,8,3,1,15,2,2,1,3,6,1,2,7,17,60,226,28,3,257,140,397,--,--,--,226,257,397,Algún campo sin dato,1,21d85da41fcc3e8564e36d5f4ecc7c0887ecac0a7ce2b90c510ed44a586e5d5a,25/06/2023 23:29:20,ESCANER
16738,"Quiché",14,"Santa Cruz Del Quiché",1,2508,400,12,11,2,2,3,28,1,1,9,--,1,15,7,2,1,6,6,5,2,4,1,--,2,21,18,65,225,41,2,268,--,268,--,400,132,225,268,268,Algún campo sin dato,1,5ae87bba56cbf6b037eaec2daf9e44c991d7705da19df85cabe29b0ae4635f12,26/06/2023 00:30:18,ESCANER
16739,"Quiché",14,"Santa Cruz Del Quiché",1,2508,372,15,8,--,--,2,19,1,1,7,--,2,23,4,--,2,7,7,--,1,3,6,1,--,15,15,58,197,23,6,226,0,226,--,369,144,197,226,226,Algún campo sin dato,1,8ef9f6f6d87ebb13cc9090bbb51f7f966f28c6a825861a5842954b74e4a2034c,26/06/2023 01:41:28,ESCANER
16740,"Quiché",14,"Santa Cruz Del Quiché",1,2508,372,14,7,1,1,1,16,2,1,4,0,3,11,8,0,0,7,4,2,2,2,4,0,1,18,23,35,167,33,4,204,0,204,--,372,168,167,204,204,Algún campo sin dato,1,7afed4833ad443f0434b332cbb4a1fd8c11982c13a099c86bd89f05eed91ea0c,26/06/2023 00:45:12,ESCANER
16741,"Quiché",14,"Santa Cruz Del Quiché",1,2509,400,18,16,7,1,0,25,1,3,2,0,4,19,5,4,1,12,5,5,3,3,5,1,3,20,25,25,213,60,8,281,0,281,--,400,119,213,281,281,Algún campo sin dato,1,4f891e51258af5a72e4b79a1cc2b4bb64c433d9c23eec93711f78c602c1d113c,25/06/2023 23:26:33,ESCANER
16742,"Quiché",14,"Santa Cruz Del Quiché",1,2509,400,29,9,5,3,2,23,1,1,4,0,9,16,9,0,1,5,9,3,3,3,8,0,1,20,21,44,--,50,9,288,109,397,--,397,288,229,288,397,Algún campo sin dato,1,457e9b0eff5d3df8ada2a6311e6ae0eb417e0aaa460548ab634bbe6700585cd9,25/06/2023 22:44:07,ESCANER
16743,"Quiché",14,"Santa Cruz Del Quiché",1,2509,400,21,9,7,3,2,21,0,0,8,2,6,15,6,0,1,5,5,3,3,4,8,0,3,25,20,37,214,70,8,292,0,292,--,400,108,214,292,292,Algún campo sin dato,1,178197c0649e4b154906abab07223763e06f4710b5dd943f4bc868200e1d6ae6,25/06/2023 23:05:20,ESCANER
16744,"Quiché",14,"Santa Cruz Del Quiché",1,2509,348,14,9,8,2,1,26,1,1,6,0,4,11,7,1,0,9,6,4,2,0,10,0,3,11,25,32,190,54,4,248,0,248,--,348,100,193,251,251,Sumas Asentadas sin cuadrar,1,c32d0d9cf6253ec3fd27330d958e7f7bd555cc5466b1e48545e69d7bb471ee95,26/06/2023 00:02:22,ESCANER
16745,"Quiché",14,"Santa Cruz Del Quiché",1,2509,348,15,7,5,1,1,20,0,0,4,0,0,8,3,0,1,8,11,1,3,3,3,0,1,12,26,53,186,28,1,215,0,215,--,348,133,186,215,215,Algún campo sin dato,1,23fd1237cee275b24831995facc80190e816511875bb8107615ee8c006a60e35,25/06/2023 21:38:24,ESCANER
