TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
706,706,100.0000,704,99.7167,2,261831,198899,75.9646

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,U R N G - MAIZ,TODOS,WINAQ,CABAL,UNE,P A N,VICTORIA,VAMOS,PIN,PHG,CREO,VALOR UNIONISTA,MLP,ELEFANTE,UR,CAMBIO,PODEMOS,SEMILLA,FCN-NACION,VIVA,VOS,MI FAMILIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9095,"Sololá",7,"Sololá",1,1110,400,89,1,9,0,54,0,0,100,0,1,0,0,4,3,0,0,0,1,2,9,2,0,275,21,25,321,0,321,--,400,79,275,321,321,Algún campo sin dato,1,45edecc0d93e43bea24b9e7365245524b29af6a6c0c956a9e661f2c8eaf57cb8,26/06/2023 02:13:42,ESCANER
9096,"Sololá",7,"Sololá",1,1110,400,65,0,8,0,40,0,0,87,0,2,1,0,3,3,1,0,2,3,0,16,2,0,233,20,28,281,1,282,1,400,118,233,281,282,,1,f2ac84d3c45e51940c6807b7e67a76e2ffde7a5f366f0b96e1d5f561a96a60d4,26/06/2023 00:37:28,ESCANER
9097,"Sololá",7,"Sololá",1,1110,400,82,1,9,2,46,1,5,78,0,1,0,0,2,6,0,0,2,3,2,6,3,2,251,33,11,295,0,295,--,400,105,251,295,295,Algún campo sin dato,1,55ed652bb34cb76997c86df19658a8182b085a4bc3c48954eee03ff8a96e3322,26/06/2023 02:38:11,ESCANER
9098,"Sololá",7,"Sololá",1,1110,400,72,1,12,5,51,0,2,77,0,1,1,0,1,7,0,0,1,7,0,7,5,2,252,24,14,290,0,290,--,400,110,252,290,290,Algún campo sin dato,1,29e59feb6501be322b179bb117b7385f3c514cc89bd643c896c837cfc145b0e4,25/06/2023 23:37:37,ESCANER
9099,"Sololá",7,"Sololá",1,1110,400,71,0,7,4,51,1,6,86,0,0,0,0,1,5,0,0,3,15,2,12,3,0,267,21,10,298,0,298,--,400,102,267,298,298,Algún campo sin dato,1,e817aa657118ae87bc7f8ab52f18dc3e85ba5422afb637ab24a58c789cd7349e,25/06/2023 23:29:35,ESCANER
9100,"Sololá",7,"Sololá",1,1110,400,72,1,12,5,34,0,2,84,0,2,0,0,0,6,0,0,1,6,0,7,3,0,235,23,15,273,0,273,--,400,127,235,273,273,Algún campo sin dato,1,47b1cbbb996fc187ecdbca87a63c56fcdff5b8227f73820124718808dc5d3de3,26/06/2023 01:51:49,ESCANER
9101,"Sololá",7,"Sololá",1,1110,400,84,0,10,5,44,0,0,93,0,1,0,1,2,1,0,0,2,8,0,6,6,0,263,15,17,295,0,295,--,400,105,263,295,295,Algún campo sin dato,1,51b3c8871e8067b93bdef25ff8a00235d46a9c248178ba40d388759dfa8809c5,26/06/2023 03:06:29,ESCANER
9102,"Sololá",7,"Sololá",1,1110,275,47,1,6,4,41,0,0,47,0,0,2,0,0,2,0,0,0,3,0,6,5,0,164,12,9,185,0,185,--,275,90,164,185,185,Algún campo sin dato,1,af9c61bbb2eaedf61d68cbefc10ca1ab65c4ca9e068c50478b082fae1f7cf899,25/06/2023 23:41:39,ESCANER
9103,"Sololá",7,"Sololá",1,1110,274,57,1,7,1,29,1,0,60,0,1,0,0,3,1,0,0,0,4,0,7,0,0,172,17,11,200,0,200,--,274,74,172,200,200,Algún campo sin dato,1,ffb8ea44b207b56e1602dc2765ed3dd8b591db18cdc3d2cc8b4b1a9fc0690498,25/06/2023 22:13:11,ESCANER
9104,"Sololá",7,"Sololá",1,1111,400,75,1,15,5,67,2,5,47,1,3,1,0,1,1,0,0,0,4,1,10,4,1,244,45,47,336,0,336,--,400,64,244,336,336,Algún campo sin dato,1,0dc1dab8ae1b03245d68a6ccef47ad6756106ba260e9b3877aa39bfe46e9bfb7,26/06/2023 00:56:23,ESCANER
9105,"Sololá",7,"Sololá",1,1111,400,103,1,9,4,60,1,4,39,0,9,0,1,6,3,0,0,0,9,4,5,5,0,263,34,44,341,0,341,--,400,59,263,341,341,Algún campo sin dato,1,61c43db87985faa2e23f4b5816691e329d979fa66b4f7a88f8e2c9d9f204564d,26/06/2023 01:42:29,ESCANER
