TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
877,877,100.0000,875,99.7719,2,324499,174813,53.8716

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,PHG,TODOS,VALOR UNIONISTA,CABAL,UNE,URNG-MAIZ WINAQ,VAMOS,PIN,ELEFANTE,PPN,MLP,AZUL,BIEN,VICTORIA,UR,P A N,PODEMOS,MI FAMILIA,CAMBIO,FCN-NACION,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20390,"Petén",17,"Flores",1,3174,380,9,1,2,3,16,16,2,13,0,1,23,7,3,7,2,2,0,0,0,24,0,7,102,38,18,158,0,0,--,380,189,138,194,194,Sumas Asentadas sin cuadrar,1,1ce4ed7530d3cfe7b802ad64c3ed8e1354134ae6f42b886d8af91233883ba2cf,26/06/2023 02:42:03,ESCANER
20391,"Petén",17,"Flores",1,3174,380,15,0,1,0,24,18,2,24,1,0,34,9,2,11,1,0,0,0,0,26,0,7,175,20,15,210,0,210,--,380,170,175,210,210,Algún campo sin dato,1,a70fcec3d772e9c087de824fbc8e95144748f2b73359caaa1e1e36360fecffb6,26/06/2023 00:17:16,ESCANER
20392,"Petén",17,"Flores",1,3174,380,12,0,1,1,16,26,0,13,1,0,40,8,6,14,0,0,0,0,0,36,0,15,189,25,6,220,0,0,--,380,160,189,220,220,Algún campo sin dato,1,2c3c53a075b9b10e57c6d6738b584ca2144643a6584cc0adf945396697476344,26/06/2023 00:34:18,ESCANER
20393,"Petén",17,"Flores",1,3174,302,5,0,1,1,16,20,0,7,0,0,45,4,7,11,0,0,0,0,0,31,0,5,153,15,7,175,0,175,--,302,127,153,175,175,Algún campo sin dato,1,f87d1924e280c2633e603c74cc7d13573ebe52d376785491109c571b04335948,25/06/2023 22:54:44,ESCANER
20394,"Petén",17,"Flores",1,3174,301,2,1,1,0,14,20,0,11,0,0,15,5,2,12,1,0,0,0,1,23,0,1,109,23,9,141,0,141,--,298,157,109,141,141,Algún campo sin dato,1,dc81990a2ca05f55826c9c444fb274f63286919b39dcfd53fc2d3c6ec614732e,25/06/2023 22:58:43,ESCANER
20395,"Petén",17,"Flores",1,3175,214,11,0,1,16,5,2,0,12,0,0,11,0,0,3,0,0,0,1,0,5,0,1,68,9,7,84,0,84,--,214,130,68,84,84,Algún campo sin dato,1,7d2913adb3d3fc8de34533c103756e0bb531a4ffbfb5e1def74cda3840205ddb,25/06/2023 21:35:29,ESCANER
20396,"Petén",17,"Flores",1,3175,214,12,0,0,10,5,1,0,6,0,0,13,0,1,0,0,0,0,0,0,3,0,0,51,8,5,64,0,64,--,214,150,51,64,64,Algún campo sin dato,1,ac991ea57b9df9e6cb496140a190030e123a381331cea0f0bd27f286bd1817c2,25/06/2023 21:01:13,ESCANER
20397,"Petén",17,"Flores",1,3176,380,13,1,6,6,23,19,1,39,1,2,32,9,4,12,1,0,0,0,1,43,0,4,217,35,23,275,0,275,--,377,102,217,275,275,Algún campo sin dato,1,00707973fc343816806575b3401ada34b8d786dab0df32a376248fb62d7ca0e7,26/06/2023 02:45:08,ESCANER
20398,"Petén",17,"Flores",1,3176,380,5,0,1,5,5,22,2,13,0,0,26,2,4,7,1,0,0,0,0,32,0,1,152,46,29,227,0,227,--,380,153,126,201,201,Sumas Asentadas sin cuadrar,1,98cc285d1b7b3058d5bdc1f8fa3c5dfec2ff30dbad106186b66b2fc7b6d68626,26/06/2023 00:55:16,ESCANER
20399,"Petén",17,"Flores",1,3176,380,12,0,3,5,24,31,3,23,1,1,19,3,3,8,0,0,0,0,1,35,0,6,178,46,29,253,0,253,1,379,126,178,253,253,,1,152a7cd0c9aa0a6c8374381201c9fd4186086f7ea16010777c08f6e48c6f4bc6,26/06/2023 02:01:33,ESCANER
