TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
78,78,100.0000,78,100.0000,0,27716,18817,67.8921

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,BIEN,UNE,CABAL,MLP,VAMOS,P A N,CAMBIO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7105,"El Progreso",4,"Sanarate",7,792,359,3,9,51,40,1,146,1,0,0,256,8,0,256,0,256,--,359,95,251,259,259,Sumas Asentadas sin cuadrar,1,b41bdcda7f2f273059dd32b895d3fe7dd64cb81460a539e7e727a09ab00068ab,26/06/2023 00:54:21,ESCANER
7106,"El Progreso",4,"Sanarate",7,792,358,4,3,56,50,1,145,0,0,4,263,2,1,266,0,266,--,358,92,263,266,266,Algún campo sin dato,1,332f765044307086d9696a0840c8ff558c92cbf7bba7de29df6b55e3dc116e12,25/06/2023 23:05:07,ESCANER
7107,"El Progreso",4,"Sanarate",7,793,380,6,3,47,38,0,117,0,1,8,220,21,2,243,0,243,--,380,137,220,243,243,Algún campo sin dato,1,a7ff31aff2ce1816b468bbf08b393c38823b2ea729c6ab9df970da53be79f6be,26/06/2023 02:14:59,ESCANER
7108,"El Progreso",4,"Sanarate",7,793,380,4,8,51,38,2,103,0,0,3,209,25,0,234,--,--,--,380,146,209,234,234,Algún campo sin dato,1,9c0d1c6587af8b41b9de422b69d36877d09bed8df6f6286cacb1b3ce268eab8a,26/06/2023 01:24:04,ESCANER
7109,"El Progreso",4,"Sanarate",7,793,250,2,3,28,36,0,56,0,0,2,127,6,1,--,--,--,--,250,116,127,134,134,Algún campo sin dato,1,2f1fa088d13793e8da909f7a7a8d6f63ff1c211f4aa1ccddcf99252a9f5c5372,26/06/2023 00:21:08,ESCANER
7110,"El Progreso",4,"Sanarate",7,793,249,1,2,38,25,0,84,0,0,0,150,4,0,154,0,154,--,241,95,150,154,154,Algún campo sin dato,1,4336bdc37ab0190c4d4e1baf98d6e461857562e1f453bb68a8cbd9d0a2e56235,25/06/2023 22:45:49,ESCANER
7111,"El Progreso",4,"Sanarate",7,794,380,6,2,18,60,0,178,0,1,2,267,9,3,279,--,279,--,392,113,267,279,279,Algún campo sin dato,1,9af238b202110a01ad5c9c71e019c2cfcb65728e47b04c8d4c7b91a3dbfb77ee,26/06/2023 00:42:02,ESCANER
7112,"El Progreso",4,"Sanarate",7,794,380,6,2,22,54,2,174,0,0,2,262,15,3,280,0,280,--,380,100,262,280,280,Algún campo sin dato,1,52b3940f55ad4b3117b9c2d7f205a7bb50945ee80f88efa2850044124ebbd725,26/06/2023 00:23:07,ESCANER
7113,"El Progreso",4,"Sanarate",7,794,238,9,3,25,36,0,86,0,0,2,161,7,2,170,0,170,--,235,65,161,170,170,Algún campo sin dato,1,28e044097016ac27e8c01b12a964c09b59a264b042d4030b184c8c4c7a2e776b,25/06/2023 22:56:06,ESCANER
7114,"El Progreso",4,"Sanarate",7,794,238,3,4,18,28,1,103,1,0,0,158,4,1,163,0,163,--,235,72,158,163,163,Algún campo sin dato,1,3147402ed363b4c7de3561af7ceca020e5452183a0a746174cd2e27beb2225e5,26/06/2023 00:10:02,ESCANER
7115,"El Progreso",4,"Sanarate",7,795,600,6,3,59,86,0,64,0,1,5,224,7,3,234,0,234,--,600,366,224,234,234,Algún campo sin dato,1,6a38d975090ca35abe0a71497d40d550b7b424739fdb6b8e8411d07f3a64f280,26/06/2023 00:57:26,ESCANER
7116,"El Progreso",4,"Sanarate",7,795,493,7,3,41,55,0,36,0,0,7,149,8,0,157,0,157,--,496,339,149,157,157,Algún campo sin dato,1,d4253ff1f82cd584323fca559bd75e1d344f4237d004fd1265d4399e3065788c,25/06/2023 23:36:43,ESCANER
